feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174BSX8	condition	CRC	-0.676831596963106	0.2052347441557	66	8	0.0015932991266907	0.00333540727354228
UniRef90_A0A174ATE6	condition	CRC	-0.61864028910312	0.187619980478736	66	8	0.00159589759298764	0.00334059848596834
UniRef90_A0A0M6X1G2	condition	CRC	-0.995077758611892	0.301879475353717	66	9	0.00160089950457372	0.00335081954295608
UniRef90_A0A139JY19	condition	CRC	-0.77696026793441	0.235738612462575	66	8	0.00160294360650087	0.00335484859194204
UniRef90_A0A174VUU7	condition	CRC	-0.630777789206142	0.191387929153993	66	7	0.00160317414333265	0.00335508165946333
UniRef90_A0A139K8D2	condition	CRC	-0.810791881620199	0.246058308615988	66	8	0.00160652149357779	0.00336158711812114
UniRef90_A0A139KET8	condition	CRC	-0.468262896748132	0.142107578354015	66	7	0.00160647885951451	0.00336158711812114
UniRef90_A0A174Y5L3	condition	CRC	-0.751049824282944	0.227934305865512	66	8	0.00160697704267958	0.00336229042776036
UniRef90_A0A174B7N4	condition	CRC	-0.799725622242099	0.242712243646521	66	8	0.00160733734053342	0.00336279435275689
UniRef90_A0A173T990	condition	CRC	-0.754328918443189	0.228939597267764	66	8	0.00160768859959623	0.00336327929373806
UniRef90_A0A174FA10	condition	CRC	-0.568103235557447	0.172441682487008	66	7	0.00160972095552443	0.00336728075047731
UniRef90_A0A173RDB8	condition	CRC	-0.907780446960211	0.275552929090193	66	8	0.00161006287368614	0.00336774574782765
UniRef90_A0A173X146	condition	CRC	-0.723478137239023	0.219610693348107	66	8	0.00161020618481211	0.00336779528341981
UniRef90_A0A174CD20	condition	CRC	-0.657097988997793	0.199467765971248	66	8	0.00161074465685785	0.00336867124135371
UniRef90_A0A174SKG6	condition	CRC	-0.652385233596247	0.198040321462743	66	8	0.00161100124001618	0.00336895757754684
UniRef90_A0A173YGW5	condition	CRC	-0.655940079080208	0.199131636351691	66	8	0.00161198841409977	0.00337077158387705
UniRef90_A0A173TH05	condition	CRC	-0.560001064368865	0.170011336559371	66	7	0.00161246871920782	0.00337152550379816
UniRef90_A0A173WRI4	condition	CRC	-0.624709039154631	0.189666493293295	66	8	0.00161335265066682	0.00337311541832802
UniRef90_A0A174KLY9	condition	CRC	-0.68464017862294	0.207863545990349	66	8	0.00161346874904821	0.00337311541832802
UniRef90_A0A173XQH7	condition	CRC	-0.779063613972037	0.236539628756979	66	8	0.00161402769755747	0.00337403339582965
UniRef90_A0A174RM75	condition	CRC	-0.778022673055626	0.236230242706668	66	7	0.00161448318310772	0.00337473496962047
UniRef90_A0A174CRS3	condition	CRC	-0.838183322136771	0.254506116219899	66	8	0.00161507683729727	0.00337572523005367
UniRef90_A0A174CJF5	condition	CRC	-0.506068750051511	0.15366566012308	66	8	0.00161537798656081	0.00337610401467409
UniRef90_A0A174M481	condition	CRC	-0.738983051470215	0.224395501319749	66	7	0.00161583785314532	0.00337681443409895
UniRef90_A0A173U9H5	condition	CRC	-0.825861475422471	0.250782431655024	66	8	0.00161621861209548	0.00337735943940855
UniRef90_A0A139K1D7	condition	CRC	-0.68188418360428	0.207101314166063	66	8	0.00161928487850422	0.00338351576483714
UniRef90_A0A139JZE9	condition	CRC	-0.749418078309262	0.22762269663707	66	8	0.00161999915046275	0.00338475701972891
UniRef90_A0A173YU21	condition	CRC	-0.719003501162572	0.218407526693996	66	7	0.0016216850263439	0.00338802796746815
UniRef90_A0A174ICH8	condition	CRC	-0.878021794187483	0.26671765149946	66	8	0.00162205325863163	0.00338854581010667
UniRef90_A0A174TCK5	condition	CRC	-0.600492185400609	0.182430826610976	66	8	0.00162371129474521	0.00339175783703102
UniRef90_A0A174RCL5	condition	CRC	-0.97015371089277	0.294765474818973	66	8	0.00162540050212244	0.00339503449590079
UniRef90_A0A174XWY0	condition	CRC	-0.662526670906544	0.201333189452237	66	8	0.00162824199585221	0.00340071731339353
UniRef90_A0A173RIX4	condition	CRC	-0.628833225491058	0.191139529088713	66	7	0.00163210346521712	0.00340852943269973
UniRef90_A0A174M5C4	condition	CRC	-0.784902854410711	0.238592995494911	66	8	0.0016331073448082	0.00341037296721612
UniRef90_A0A174L8M4	condition	CRC	-0.691771333795667	0.210318574283002	66	7	0.00163586032959781	0.00341564830528513
UniRef90_A0A174TII0	condition	CRC	-0.705531696505838	0.214502332343879	66	8	0.00163587617576582	0.00341564830528513
UniRef90_A0A173QU26	condition	CRC	-0.817291804253873	0.248497753114048	66	7	0.00163699797638631	0.00341773709813315
UniRef90_A0A174CUU2	condition	CRC	-0.627222943722181	0.190713218797021	66	7	0.00163750722673155	0.00341837782891905
UniRef90_A0A174SWI9	condition	CRC	-0.756068750051511	0.229890605458477	66	8	0.00163754771955109	0.00341837782891905
UniRef90_A0A174PJ47	condition	CRC	-0.818424263529849	0.248927601896686	66	8	0.00164261936857136	0.00342871064462231
UniRef90_A0A174BKC7	condition	CRC	-0.640171875128778	0.194743236838476	66	8	0.0016453083434106	0.00343406883775914
UniRef90_A0A174I139	condition	CRC	-0.615314953231996	0.18718588182396	66	7	0.00164567956257065	0.00343458900181548
UniRef90_A0A174NIP4	condition	CRC	-0.71347428298214	0.217049808187243	66	7	0.00164588594556852	0.00343476509560008
UniRef90_A0A174W461	condition	CRC	-0.446137610583203	0.135746818328179	66	7	0.00164890123715925	0.00344080258161049
UniRef90_A0A173THA9	condition	CRC	-0.851624644676585	0.259137169912307	66	9	0.00164968355433364	0.00344217991562413
UniRef90_A0A174WUT7	condition	CRC	-0.697723114846004	0.212309630016393	66	8	0.00164987633364185	0.00344232702473025
UniRef90_A0A174ZSZ5	condition	CRC	-0.675886160843063	0.205669646461029	66	7	0.00165025744853404	0.0034428670291337
UniRef90_A0A174ESC6	condition	CRC	-0.647474393462319	0.197066224016074	66	8	0.00165378059143995	0.00344996155688904
UniRef90_A0A174Y5E6	condition	CRC	-0.630137721063383	0.191792014744615	66	8	0.00165398719953758	0.0034501369028884
UniRef90_A0A174INC6	condition	CRC	-0.794685232268726	0.24189017386942	66	7	0.00165505139564404	0.00345210097726688
UniRef90_A0A174KNA2	condition	CRC	-0.748260168391677	0.227771958758775	66	8	0.00165598339905652	0.00345378905395163
UniRef90_A0A0K2Y5T8	condition	CRC	-1.90276232227496	0.579232673485295	66	55	0.00165715419306693	0.00345597487541449
UniRef90_A0A174XVF8	condition	CRC	-0.530047051119747	0.161369573285667	66	8	0.00165824826031924	0.00345800037218572
UniRef90_A0A174Q661	condition	CRC	1.0967237833641	0.326581983109473	66	28	0.00165882048616962	0.00345893743623784
UniRef90_A0A174C7W8	condition	CRC	-0.763471804656734	0.23245426082605	66	8	0.00165966630215366	0.00346044480360167
UniRef90_A0A139JY29	condition	CRC	-0.889852834958421	0.270950577761486	66	8	0.00166070860406457	0.00346236159532147
UniRef90_A0A174UV55	condition	CRC	-0.705531696505838	0.214831278625352	66	8	0.0016610547292024	0.00346282677254931
UniRef90_A0A173UV67	condition	CRC	-0.470354464337225	0.143240809614882	66	7	0.00166336027241225	0.00346711967932398
UniRef90_A0A173XAK8	condition	CRC	-0.470354464337225	0.143240809614882	66	7	0.00166336027240509	0.00346711967932398
UniRef90_A0A174D2Y3	condition	CRC	-0.875771444275848	0.266729029334132	66	7	0.00166480974114744	0.0034695765663412
UniRef90_A0A174LLE9	condition	CRC	-0.755257318747937	0.230026059957722	66	7	0.00166490870398917	0.0034695765663412
UniRef90_A0A174W0Z0	condition	CRC	-0.582926003388834	0.177537994363029	66	7	0.00166474779594127	0.0034695765663412
UniRef90_A0A173VAF0	condition	CRC	-0.609815544032948	0.185738238634492	66	7	0.00166569992513229	0.00347096848943926
UniRef90_A0A173TIE3	condition	CRC	-0.653899718105711	0.199186864652907	66	9	0.00166748363554429	0.00347442819242417
UniRef90_A0A173TA07	condition	CRC	-0.687383592803327	0.209397229463203	66	7	0.0016683328170954	0.00347568308050542
UniRef90_A0A174XRJ8	condition	CRC	-0.468262896748132	0.142646363376017	66	7	0.00166830175842586	0.00347568308050542
UniRef90_A0A174TC14	condition	CRC	-1.17264027729746	0.357227289546796	66	8	0.00166864056773686	0.00347606698704514
UniRef90_A0A173VB94	condition	CRC	-0.953579391099974	0.290502438428363	66	8	0.00166914153152108	0.00347685330339485
UniRef90_A0A174Y0U9	condition	CRC	-0.849040685954275	0.258664087402902	66	7	0.00166970396155019	0.00347776752926612
UniRef90_A0A173V7Y5	condition	CRC	-0.487920646349	0.148648563068912	66	7	0.00166985257891149	0.00347781976781212
UniRef90_A0A174XKY7	condition	CRC	-0.840057158561562	0.255955024391368	66	7	0.00167150947499801	0.00348101307442995
UniRef90_A0A174G9J3	condition	CRC	-0.531577518539587	0.161967985283866	66	7	0.00167180625429106	0.00348137359795856
UniRef90_A0A174C9U2	condition	CRC	-0.953791864897515	0.290632053630788	66	8	0.00167285256121133	0.00348329477094832
UniRef90_A0A174W500	condition	CRC	-0.628034375025755	0.191426911020099	66	8	0.00167782616217994	0.00349339265717697
UniRef90_A0A174FEH1	condition	CRC	-0.562674553648695	0.171513654270963	66	7	0.0016786653549203	0.00349488145775153
UniRef90_A0A173RIC9	condition	CRC	-0.799955131854936	0.243892559851388	66	8	0.00168218354350816	0.00350194713575699
UniRef90_A0A174V0Q5	condition	CRC	-1.33996292962955	0.408552504275937	66	19	0.00168352567639003	0.00350448202024046
UniRef90_A0A0P0GKJ7	condition	CRC	-0.739285461634897	0.225434686738717	66	10	0.00168509708012935	0.00350749375229586
