0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.23456019,0.32855207,0.7750758,0.59690714,0.49782115,0.2535388,0.41876578,0.53121006,0.7477524,0.50143754,0.6690005,0.51491916,0.504519,0.9245121,0.7286801,0.5981493,0.3460191,0.58381206,0.54879105,0.42156786,0.24476275,0.93685037,0.41664553,0.17099419,0.4445608,0.10471369,0.64087933,0.87843084,0.17809027,0.6040101,0.6502952,0.7143826,0.6453592,0.83007616,0.6023433,0.17326313,0.688668,0.4421875,0.5556342,0.42633864,0.7559844,0.10861564,0.4839726,0.49807307,0.8358793,0.8700966,0.572072,0.6802565,0.59420466,0.4296322,0.0,0.7395618,0.9319167,0.73296326,0.6036508,0.78052306,0.7048437,0.0,0.9233385,0.38066527,0.81012446,0.7590304,0.48439255,0.7435795,0.4546615,0.7134478,0.3854268,0.54716,0.30533344,0.45091414,0.87859464,0.51222426,0.5095168,0.04520169,0.25905082,0.5787342,0.48647347,0.63774884,0.34842676,0.0,0.46365836,0.5261087,0.4831872,0.60969806,0.45015803,0.0062811375,0.5258955,0.7544233,0.46054217,0.7947408,0.57779646,0.6871344,0.5004637,0.725228,0.30558547,0.62951726,0.7341499,0.4537823,0.61029166,0.48778763
0.30809838,0.34546226,0.7850659,0.15097588,0.4220879,0.7156015,0.59246624,0.5712432,0.5652398,0.34810638,0.42188072,0.8551182,0.114874095,0.4235252,0.5377691,0.4339407,0.27244565,0.19713283,0.69117606,0.47312066,0.2506619,0.60562956,0.5074949,0.41303554,0.6146457,0.25799188,0.6597241,0.64976704,0.25778922,0.357889,0.39779657,0.7744118,0.55318135,0.6554893,0.69640815,0.8033986,0.67085975,0.70889175,0.7881917,0.69128966,0.43939644,0.32530454,0.23291561,0.16970591,0.83438325,0.5433873,0.7190878,0.94075084,0.6357321,0.4171329,0.73755974,0.69229573,0.8396703,0.34889588,0.5818034,0.80006814,0.25797495,0.74005985,0.6689477,0.51593643,0.24203753,0.7133218,0.9318646,0.44668758,0.6281175,0.8537724,0.17737094,0.7566176,0.44079357,0.702901,0.7670318,0.7636728,0.6016329,0.46130112,0.39711607,0.6265498,0.31252193,0.49343824,0.32782602,0.35421526,0.7825463,0.6734616,0.62177527,0.50773203,0.90306187,0.6617358,0.4770934,0.67864436,0.59732604,0.6976059,0.65271413,0.52409285,0.6366625,0.54026693,0.36603856,0.72870475,0.71182317,0.40524158,0.504847,0.74841964
0.32871693,0.6209339,0.6395488,0.35656393,0.34125,0.30748096,0.04303342,0.41856664,0.58412147,0.42221493,0.81643486,0.9049938,0.50207675,0.28893158,0.36289108,0.7107964,0.51598644,0.32203257,0.8181072,0.5102466,0.52904284,0.8152942,0.7639135,0.106025875,0.5464013,0.3913504,0.7518238,0.6437202,0.085711494,0.14830893,0.94557023,0.75408924,0.679932,0.7350103,0.56713456,0.53665644,0.51701784,0.4836661,0.80293155,0.70799714,0.637666,0.6144191,0.5607079,0.46102136,0.69989115,0.94394433,0.6116676,0.8202851,0.85849476,0.32942644,0.7580809,0.7903603,0.6453446,0.6381818,0.68788904,0.7513609,0.47518837,0.6848738,0.7869343,0.37341094,0.612253,0.8386982,0.78271496,0.6561413,0.5830057,0.6913675,0.5203111,0.37592036,0.47992665,0.65863657,0.7912455,0.82040197,0.55266494,0.46770674,0.51256216,0.5255148,0.64266473,0.7086766,0.40531898,0.39399996,0.4422306,0.612388,0.88575125,0.40430534,0.8422883,0.7383684,0.42215857,0.7314118,0.733797,0.50317633,0.24475601,0.48010123,0.5153627,0.72830164,0.29536444,0.7504655,0.592226,0.41298917,0.5356547,0.2648968
0.25570896,0.31547835,0.82733893,0.17973211,0.4714642,0.6797173,0.8318211,0.7018398,0.6001613,0.25515074,0.20985034,0.7199331,0.0,0.58426094,0.42634818,0.53456724,0.089431256,0.127603,0.8487144,0.3829436,0.2772311,0.8490812,0.25115544,0.532078,0.7809262,0.2079531,0.7392688,0.71353555,0.26093814,0.4417113,0.18707496,0.59073305,0.47790188,0.6655699,0.59578645,0.73447025,0.7971185,0.7692442,0.72756284,0.77349705,0.20049974,0.16337723,0.21998245,0.066245794,0.6954011,0.7015516,0.78661495,0.8803941,0.30769643,0.40548918,0.7447475,0.6879824,0.9409765,0.2803194,0.68533856,0.8126252,0.576247,0.5876906,0.630028,0.15709478,0.17632055,0.3523073,0.75910497,0.5620473,0.6045426,0.88703954,0.06317404,0.84206784,0.47842595,0.7939437,0.73123044,0.68650734,0.6014892,0.35206896,0.34314823,0.65761364,0.30062726,0.3341154,0.3086019,0.4181042,0.89564896,0.82942736,0.5325005,0.5946129,0.98943216,0.49818185,0.6476214,0.66767544,0.5908134,0.5897761,0.84864604,0.5612456,0.69748896,0.5100252,0.29993686,0.5371997,0.803316,0.39450118,0.34084797,0.80070144
0.5048477,0.6934036,0.5041446,0.45655763,0.29322827,0.3845223,0.632848,0.53049785,0.77995384,0.28339118,0.2705267,0.80541664,0.49740222,0.809443,0.622668,0.6856346,0.39605048,0.49991587,0.7925943,0.15016264,0.3910155,1.0,0.8711105,0.46700755,0.49708736,0.051762447,0.71586454,0.6811952,0.35622036,0.36868393,0.7899248,0.40185514,0.60329044,0.041813374,0.23636666,0.43425405,0.71015835,0.8572378,0.7269115,0.68804455,0.3423999,0.38797098,0.6325386,0.3668754,0.7549163,0.7485354,0.4658073,0.617803,0.13785982,0.3084842,0.9556334,0.7927591,0.84084576,0.7479205,0.5134841,0.6562497,0.51968944,0.49379152,0.91766083,0.45906353,0.5851815,0.8438206,0.7264362,0.64271235,0.54718685,0.7520678,0.24553137,0.54027534,0.54481095,0.6282859,0.65607196,0.39179066,0.580415,0.41331637,0.29598027,0.21890518,0.5644166,0.6746186,0.23709862,0.31147915,0.957984,0.2569265,0.75013924,0.83599275,0.7362726,0.5742824,0.5340185,0.6994105,0.78447115,0.5636648,0.6844465,0.623397,0.37230194,0.60598147,0.36635023,0.46322906,0.47792938,0.31343114,0.57762754,0.66447145
0.719681,0.78105325,0.7529806,0.47323972,0.47456518,0.7577666,0.6134536,0.5869856,0.6644436,0.2899963,0.8129803,0.90034556,0.5006929,0.5980733,0.8923201,0.5775979,0.54496306,0.5591039,0.84036404,0.34406582,0.41576442,0.91805685,0.9490293,0.39543638,0.42663458,0.23037161,0.8332914,0.45787257,0.18734214,0.5970708,0.64797544,0.2632783,0.14589119,0.7139679,0.74859124,0.64533997,0.65955967,0.24830401,0.79543483,0.63027364,0.5339027,0.7125601,0.1760728,0.4264637,0.51003253,0.8205969,0.58773434,0.581921,0.69684356,0.35320893,0.75607157,0.69992137,0.7911023,0.54199564,0.7270612,0.81906253,0.6280469,0.7160381,0.7709711,0.5670036,0.6651164,0.7497646,0.605464,0.5648262,0.6663603,0.5093146,0.5973857,0.77173203,0.5582088,0.73468626,0.5744754,0.76729316,0.1043182,0.21781915,0.050245732,0.93017936,0.78344464,0.8301374,0.2624859,0.35001242,0.67915386,0.59383196,0.902928,0.8961752,0.6424673,0.71678054,0.1655235,0.71698135,0.6793311,0.39686462,0.60957783,0.5366956,0.29240832,0.29320022,0.33292347,0.88480186,0.4318939,0.49683177,0.6132731,0.8316297
0.22678792,0.2854175,0.78432494,0.08486253,0.39153424,0.5428352,0.3919525,0.55088186,0.5123905,0.27351546,0.42755806,0.9568857,0.20357142,0.2510542,0.3498655,0.380733,0.21150935,0.14969102,0.7761789,0.3844202,0.24475484,0.63321257,0.5050355,0.25358003,0.67532074,0.25414994,0.7392253,0.8227319,0.27121732,0.2826618,0.445893,0.74534947,0.55569875,0.547351,0.60272986,0.69537836,0.6392223,0.64835995,0.80711925,0.698085,0.3751812,0.40481713,0.33476296,0.2254378,0.8631996,0.73095006,0.6258745,0.90418327,0.60664237,0.38366818,0.74275595,0.534147,0.8023343,0.43799374,0.5631806,0.89968586,0.21832988,0.64316815,0.6527319,0.44624305,0.31831086,0.687264,0.86773264,0.57721454,0.50086945,0.8566103,0.20977136,0.58789724,0.41690025,0.7610987,0.8168975,0.79114485,0.6807786,0.4762388,0.3976129,0.50795925,0.31635264,0.53005874,0.24811284,0.27702022,0.6552207,0.6238944,0.6838923,0.32629347,0.94748336,0.72189635,0.50260365,0.6805862,0.62246454,0.6363931,0.5630918,0.54455715,0.3468089,0.58847004,0.3486218,0.6951529,0.6694886,0.34703404,0.4585799,0.59821063
0.20921755,0.39443272,0.7036079,0.3913984,0.30573505,0.18691584,0.052895993,0.5076349,0.6547879,0.33741137,0.7919318,0.8078438,0.6116179,0.48017496,0.3991203,0.46173775,0.44055748,0.4866207,0.7394929,0.49177623,0.37869072,0.853269,0.4954672,0.029434979,0.52535313,0.19540378,0.7941131,0.7983313,0.03679353,0.256882,0.69736433,0.81771874,0.86095405,0.67921054,0.47878632,0.34466735,0.59038424,0.29889727,0.7419011,0.6063636,0.6589432,0.3594386,0.6555136,0.45373112,0.70373684,0.9813078,0.56936157,0.6996351,0.6282198,0.24408703,0.44361502,0.7300708,0.8047253,0.77285105,0.6310428,0.7955183,0.41320288,0.28277472,0.96755487,0.39642447,0.6759194,0.8248485,0.7868815,0.7114369,0.5685734,0.7905724,0.46764463,0.30018926,0.37527168,0.47471943,0.8985324,0.60287654,0.6530002,0.25586095,0.49318367,0.49455184,0.7202693,0.78104377,0.3477711,0.19865108,0.2761893,0.61479014,0.6704202,0.20850241,0.6445068,0.38023263,0.4185665,0.9292666,0.5758946,0.4944787,0.32782143,0.42008886,0.33741653,0.74398637,0.32631624,0.6451807,0.59526354,0.3930655,0.44120938,0.37577558
0.28371325,0.35679,0.747862,0.15205178,0.44054472,0.55739725,0.45106557,0.4886108,0.49407595,0.2923113,0.40282714,0.8785708,0.19673061,0.37707826,0.43870205,0.39640385,0.20513842,0.220316,0.74141645,0.36976603,0.23721471,0.6754794,0.5676845,0.30423427,0.6344048,0.25509724,0.7035309,0.7643529,0.3333062,0.33933023,0.5635025,0.6901069,0.43146098,0.56709856,0.59640926,0.6314469,0.66701967,0.6848157,0.79779595,0.66509444,0.3997096,0.398482,0.3260926,0.24656895,0.80478853,0.6888181,0.553859,0.8874705,0.67187035,0.39904583,0.7144156,0.56510174,0.7914604,0.43507656,0.5383378,0.9077563,0.23225945,0.6679372,0.6264042,0.44693205,0.30501354,0.7025557,0.7854229,0.5545457,0.42465776,0.82427526,0.213961,0.58360547,0.43179753,0.76089394,0.8016327,0.760526,0.6274809,0.47734195,0.3301971,0.49216756,0.36865488,0.518884,0.22723068,0.23769027,0.712056,0.5526682,0.6155575,0.44671637,0.9135764,0.69160414,0.50456935,0.6496126,0.61751306,0.68687075,0.5641311,0.53967476,0.41366938,0.57389504,0.31029892,0.7145169,0.64094603,0.32857093,0.4404906,0.5798143
0.7412089,0.6832969,0.6917846,0.18735392,0.50341004,0.48031467,0.15919581,0.34746653,0.60546505,0.20815495,1.0,0.9428606,0.63393724,0.40468878,0.27749583,0.3699009,0.58024514,0.52199596,0.8785648,0.44678777,0.38984168,0.8098315,0.91175973,0.14172214,0.20762947,0.18496363,1.0,0.3497503,0.1381283,0.44337237,0.5755702,0.42616862,0.21965915,0.7260371,0.54458284,0.414819,0.640036,0.0,0.7364263,0.42728683,0.527106,1.0,0.4259367,0.30772457,0.036074996,1.0,0.72789764,0.6623162,0.7215155,0.06224522,0.71079934,0.4690287,0.6070125,0.8256304,0.5552092,0.88452214,0.19712403,0.883824,0.93485034,0.60818386,0.7234931,0.41403002,0.7246159,0.28964093,0.27543083,0.50085604,0.8615428,0.19200289,0.54851276,0.5636654,0.72459584,0.48413572,0.50669396,0.33774588,0.32634565,0.70118713,0.9568439,0.84341455,0.22622658,0.18606204,0.0,0.35338944,0.8883316,0.32589546,0.78741497,0.7016698,0.0,0.84087235,0.2537727,0.009468675,0.13825351,0.079253644,0.12322882,0.3306134,0.02844721,0.9335611,0.5684191,0.2933427,0.10177332,0.6696805
